pl_name,hostname,pl_orbper,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,discoverymethod,disc_year,pl_orbsmax,rowupdate
Kepler-6 b,Kepler-6,3.234699312,13.38,,,,5690.0,1.29,1.05,Transit,2009,,2016-05-06
Kepler-6 b,Kepler-6,3.23469439654,13.31600225,,,1374.57,5613.0,1.31474,,Transit,2009,,2024-09-16
Kepler-6 b,Kepler-6,3.2346996,14.616536,212.31044,,1460.0,5647.0,1.391,1.209,Transit,2009,0.04852,2015-10-07
Kepler-6 b,Kepler-6,3.234699312,13.41,,0.0,1355.0,5640.0,1.291,1.047,Transit,2009,0.0435,2014-11-18
Kepler-6 b,Kepler-6,3.234699312,13.41,,0.0,1355.0,5640.0,1.291,1.047,Transit,2009,0.0435,2014-11-21
Kepler-6 b,Kepler-6,,12.902,,,,5660.0,1.275,,Transit,2009,,2018-09-04
Kepler-6 b,Kepler-6,3.234702,13.103321,201.18639,,1451.0,5647.0,1.261,1.114,Transit,2009,0.04438,2016-01-12
Kepler-6 b,Kepler-6,3.2346994,13.103321,205.63601,0.06,,5647.0,1.261,1.114,Transit,2009,0.04448,2019-03-18
Kepler-6 b,Kepler-6,3.2346993953,,,,,5613.0,1.31474,0.99,Transit,2009,,2019-04-16
Kepler-6 b,Kepler-6,3.234723,14.83,212.619,0.0,1500.0,5647.0,1.391,1.209,Transit,2009,0.04567,2014-05-14
Kepler-6 b,Kepler-6,3.234699312,13.41,,0.0,1355.0,5640.0,1.291,1.047,Transit,2009,0.0435,2015-08-25
Kepler-6 b,Kepler-6,3.23469955,11.07,,0.0,1260.0,5826.0,1.082,1.138,Transit,2009,0.045,2013-10-28
Kepler-6 b,Kepler-6,3.234699,,,,,5647.0,1.391,1.209,Transit,2009,,2022-01-24
Kepler-6 b,Kepler-6,3.234699282,13.06,,0.0,1356.0,5640.0,1.291,1.047,Transit,2009,0.0435,2017-05-08
Kepler-6 b,Kepler-6,3.2346993,,,,,5647.0,1.391,1.209,Transit,2009,,2024-03-04
Kepler-6 b,Kepler-6,3.234699282,,,,,5613.0,1.31474,0.99,Transit,2009,,2018-09-25
Kepler-6 b,Kepler-6,3.23469918,,,,,5613.0,1.31474,0.99,Transit,2009,,2016-07-26
Kepler-6 b,Kepler-6,3.234699312,13.101,,,,5660.0,1.261,1.09,Transit,2009,0.04408,2024-12-05
Kepler-491 b,Kepler-491,4.2253846,10.0,,0.0,1157.0,5541.0,1.17,1.047,Transit,2016,0.052,2013-10-28
Kepler-491 b,Kepler-491,4.225384512,9.16,,0.0,1118.0,5649.0,1.055,1.071,Transit,2016,0.0524,2015-08-25
Kepler-491 b,Kepler-491,4.22534982536,8.88931966,,,1097.04,5501.0,1.03122,,Transit,2016,,2023-03-28
Kepler-491 b,Kepler-491,4.2253841112,,,,,5501.0,1.03122,0.96,Transit,2016,,2019-04-16
Kepler-491 b,Kepler-491,4.225384512,9.16,,0.0,1118.0,5649.0,1.055,1.071,Transit,2016,0.0524,2014-11-18
Kepler-491 b,Kepler-491,4.225384543,,,,,5501.0,1.03122,0.96,Transit,2016,,2018-09-25
Kepler-491 b,Kepler-491,4.225384543,9.0,,0.0,1111.0,5574.0,1.054,1.025,Transit,2016,0.0516,2017-05-08
Kepler-491 b,Kepler-491,4.225384512,8.92,,,,5582.0,1.03,1.04,Transit,2016,,2016-05-06
Kepler-491 b,Kepler-491,4.225384512,8.547,,,,5522.0,0.984,1.044,Transit,2016,0.05191,2024-12-05
Kepler-491 b,Kepler-491,4.225384512,9.16,,0.0,1118.0,5649.0,1.055,1.071,Transit,2016,0.0524,2014-11-21
Kepler-491 b,Kepler-491,,8.523,,,,5522.0,0.998,,Transit,2016,,2018-09-04
Kepler-257 b,Kepler-257,2.382652873,2.74,,0.0,1237.0,5188.0,0.973,0.868,Transit,2014,0.0333,2017-05-08
Kepler-257 b,Kepler-257,2.382652169,2.67,,0.0,1237.0,5188.0,0.973,0.868,Transit,2014,0.0333,2014-11-18
Kepler-257 b,Kepler-257,2.38265264,,,,,4972.0,0.87259,0.82,Transit,2014,,2016-07-26
Kepler-257 b,Kepler-257,2.382652169,2.201,,,,5118.0,0.801,0.916,Transit,2014,0.03391,2024-12-05
Kepler-257 b,Kepler-257,2.382667,2.61,,,,5180.0,1.037,,Transit,2014,0.034,2014-05-14
Kepler-257 b,Kepler-257,2.382652169,2.22,,,,5209.0,0.81,0.85,Transit,2014,,2016-05-06
Kepler-257 b,Kepler-257,2.3826432093,,,,,4972.0,0.87259,0.82,Transit,2014,,2019-04-16
Kepler-257 b,Kepler-257,2.382652873,,,,,4972.0,0.87259,0.82,Transit,2014,,2018-09-25
Kepler-257 b,Kepler-257,2.382652169,2.67,,0.0,1237.0,5188.0,0.973,0.868,Transit,2014,0.0333,2015-08-25
Kepler-257 b,Kepler-257,2.382666,2.0,,0.0,1079.0,5058.0,0.75,0.74,Transit,2014,0.032,2013-10-28
