pl_name,hostname,pl_orbper,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,discoverymethod,disc_year,pl_orbsmax,rowupdate,pl_vol_earth,pl_mass_kg,pl_density,insolation_flux
Kepler-6 b,Kepler-6,3.234699312,13.38,,,797.0,5690.0,1.29,1.05,Transit,2009,,2016-05-06,2594655866712474.0,,,
Kepler-6 b,Kepler-6,3.23469439654,13.31600225,,,1374.57,5613.0,1.31474,,Transit,2009,,2024-09-16,2557602243076901.5,,,
Kepler-6 b,Kepler-6,3.2346996,14.616536,212.31044,,1460.0,5647.0,1.391,1.209,Transit,2009,0.04852,2015-10-07,3382554527379321.0,1.2674933268e+27,374714824710.30774,752.971497239191
Kepler-6 b,Kepler-6,3.234699312,13.41,,0.0,1355.0,5640.0,1.291,1.047,Transit,2009,0.0435,2014-11-18,2612147870044912.0,,,802.9437036038418
Kepler-6 b,Kepler-6,3.234699312,13.41,,0.0,1355.0,5640.0,1.291,1.047,Transit,2009,0.0435,2014-11-21,2612147870044912.0,,,802.9437036038418
Kepler-6 b,Kepler-6,,12.902,,,797.0,5660.0,1.275,,Transit,2009,,2018-09-04,2326390079583983.5,,,
Kepler-6 b,Kepler-6,3.234702,13.103321,201.18639,,1451.0,5647.0,1.261,1.114,Transit,2009,0.04438,2016-01-12,2437000203936844.5,1.2010827483e+27,492852953544.9831,739.6417860097241
Kepler-6 b,Kepler-6,3.2346994,13.103321,205.63601,0.06,797.0,5647.0,1.261,1.114,Transit,2009,0.04448,2019-03-18,2437000203936844.5,1.2276469797e+27,503753334824.0191,736.3197970072695
Kepler-6 b,Kepler-6,3.234723,14.83,212.619,0.0,1500.0,5647.0,1.391,1.209,Transit,2009,0.04567,2014-05-14,3532928739446144.0,1.26933543e+27,359287017546.52246,849.8809565591189
Kepler-6 b,Kepler-6,3.234699312,13.41,,0.0,1355.0,5640.0,1.291,1.047,Transit,2009,0.0435,2015-08-25,2612147870044912.0,,,802.9437036038418
Kepler-6 b,Kepler-6,3.23469955,11.07,,0.0,1260.0,5826.0,1.082,1.138,Transit,2009,0.045,2013-10-28,1469448220177175.0,,,600.075817524969
Kepler-6 b,Kepler-6,3.234699282,13.06,,0.0,1356.0,5640.0,1.291,1.047,Transit,2009,0.0435,2017-05-08,2412909066944388.0,,,802.9437036038418
Kepler-6 b,Kepler-6,3.234699312,13.101,,,797.0,5660.0,1.261,1.09,Transit,2009,0.04408,2024-12-05,2435705430886802.0,,,756.6716044223795
Kepler-491 b,Kepler-491,4.2253846,10.0,,0.0,1157.0,5541.0,1.17,1.047,Transit,2016,0.052,2013-10-28,1083206916845753.6,,,429.9444500082725
Kepler-491 b,Kepler-491,4.225384512,9.16,,0.0,1118.0,5649.0,1.055,1.071,Transit,2016,0.0524,2015-08-25,832526076743972.4,,,371.8975818996757
Kepler-491 b,Kepler-491,4.22534982536,8.88931966,,,1097.04,5501.0,1.03122,,Transit,2016,,2023-03-28,760881448936227.8,,,
Kepler-491 b,Kepler-491,4.225384512,9.16,,0.0,1118.0,5649.0,1.055,1.071,Transit,2016,0.0524,2014-11-18,832526076743972.4,,,371.8975818996757
Kepler-491 b,Kepler-491,4.225384543,9.0,,0.0,1111.0,5574.0,1.054,1.025,Transit,2016,0.0516,2017-05-08,789657842380554.4,,,362.8644199803442
Kepler-491 b,Kepler-491,4.225384512,8.92,,,797.0,5582.0,1.03,1.04,Transit,2016,,2016-05-06,768786923470362.4,,,
Kepler-491 b,Kepler-491,4.225384512,8.547,,,797.0,5522.0,0.984,1.044,Transit,2016,0.05191,2024-12-05,676320476437349.6,,,301.0013605419503
Kepler-491 b,Kepler-491,4.225384512,9.16,,0.0,1118.0,5649.0,1.055,1.071,Transit,2016,0.0524,2014-11-21,832526076743972.4,,,371.8975818996757
Kepler-491 b,Kepler-491,,8.523,,,797.0,5522.0,0.998,,Transit,2016,,2018-09-04,670639130189187.0,,,
Kepler-257 b,Kepler-257,2.382652873,2.74,,0.0,1237.0,5188.0,0.973,0.868,Transit,2014,0.0333,2017-05-08,22282458842016.637,,,557.2265404379642
Kepler-257 b,Kepler-257,2.382652169,2.67,,0.0,1237.0,5188.0,0.973,0.868,Transit,2014,0.0333,2014-11-18,20617937017969.52,,,557.2265404379642
Kepler-257 b,Kepler-257,2.382652169,2.201,,,797.0,5118.0,0.801,0.916,Transit,2014,0.03391,2024-12-05,11549722565255.043,,,344.9096053306658
Kepler-257 b,Kepler-257,2.382667,2.61,,,797.0,5180.0,1.037,,Transit,2014,0.034,2014-05-14,19258965117819.332,,,603.4112848566269
Kepler-257 b,Kepler-257,2.382652169,2.22,,,797.0,5209.0,0.81,0.85,Transit,2014,,2016-05-06,11851418871141.4,,,
Kepler-257 b,Kepler-257,2.382652169,2.67,,0.0,1237.0,5188.0,0.973,0.868,Transit,2014,0.0333,2015-08-25,20617937017969.52,,,557.2265404379642
Kepler-257 b,Kepler-257,2.382666,2.0,,0.0,1079.0,5058.0,0.75,0.74,Transit,2014,0.032,2013-10-28,8665655334766.028,,,323.91613406441485
Kepler-257 b,Kepler-257,2.382652169,2.67,,0.0,1237.0,5188.0,0.973,0.868,Transit,2014,0.0333,2014-11-21,20617937017969.52,,,557.2265404379642
Kepler-216 b,Kepler-216,7.69363627,2.12,,0.0,1069.0,6086.0,1.216,1.013,Transit,2014,0.0767,2017-05-08,10320934154191.697,,,310.6697188390455
Kepler-216 b,Kepler-216,7.69364042,1.91,,0.0,1003.0,6277.0,1.031,1.085,Transit,2014,0.0785,2014-11-21,7547646062888.936,,,241.25773265280222
Kepler-216 b,Kepler-216,7.693641,2.35,,,797.0,6091.0,1.26,,Transit,2014,0.079,2014-05-14,14057723965959.584,,,315.4539834997013
Kepler-216 b,Kepler-216,7.69364042,1.91,,0.0,1003.0,6277.0,1.031,1.085,Transit,2014,0.0785,2014-11-18,7547646062888.936,,,241.25773265280222
Kepler-216 b,Kepler-216,,2.765,,,797.0,6119.0,1.589,,Transit,2014,,2018-09-04,22897962061328.35,,,
Kepler-216 b,Kepler-216,7.69364042,2.23,,,797.0,6142.0,1.2,1.11,Transit,2014,,2016-05-06,12012295679224.412,,,
Kepler-216 b,Kepler-216,7.693491,1.96,,0.0,1008.0,6278.0,1.05,1.129,Transit,2014,0.079,2013-10-28,8156045475839.108,,,247.2318230704179
Kepler-216 b,Kepler-216,7.69364042,1.91,,0.0,1003.0,6277.0,1.031,1.085,Transit,2014,0.0785,2015-08-25,7547646062888.936,,,241.25773265280222
Kepler-216 b,Kepler-216,7.69364042,2.867,,,797.0,6119.0,1.545,1.126,Transit,2014,0.0794,2024-12-05,25526689948139.777,,,478.2252311711087
Kepler-32 c,Kepler-32,8.75210645,2.2,,0.0,449.0,3727.0,0.5,0.52,Transit,2011,0.0669,2015-08-25,11533987250573.586,,,9.71001843556694
Kepler-32 c,Kepler-32,8.75209691,1.83,,0.0,451.0,3731.0,0.498,0.509,Transit,2011,0.0664,2017-05-08,6638419508199.283,,,9.82015252569692
Kepler-32 c,Kepler-32,8.75210645,2.2,,0.0,449.0,3727.0,0.5,0.52,Transit,2011,0.0669,2014-11-21,11533987250573.586,,,9.71001843556694
Kepler-32 c,Kepler-32,,2.112,,,797.0,3731.0,0.574,,Transit,2011,,2018-09-04,10204533744123.473,,,
Kepler-32 c,Kepler-32,8.752,1.94,,,797.0,3787.0,0.506,0.514,Transit,2011,,2016-03-02,7908909651346.915,,,
Kepler-32 c,Kepler-32,8.752,2.02,7.7,,797.0,,0.529,0.566,Transit,2011,,2014-05-28,8928233357064.775,4.5969000000000004e+25,5148722951290.8545,
Kepler-32 c,Kepler-32,,2.021,,,797.0,3801.0,0.529,0.566,Transit,2011,,2016-02-10,8941499674892.387,,,
Kepler-32 c,Kepler-32,8.75208025,1.98,,,797.0,3791.0,0.574432,0.566709,Transit,2011,,2015-11-18,8408276705668.143,,,
Kepler-32 c,Kepler-32,8.75210645,2.37,,,797.0,3903.0,0.54,0.57,Transit,2011,,2016-05-06,14419707887017.266,,,
Kepler-32 c,Kepler-32,8.75245953,2.08,,,449.0,3727.0,0.5,0.52,Transit,2011,0.06699,2016-02-24,9747683722486.254,,,9.68394545086152
Kepler-32 c,Kepler-32,8.752167,1.99,,0.0,497.0,4061.0,0.524,0.549,Transit,2011,0.068,2013-10-28,8536319345687.728,,,14.55028221224545
Kepler-32 c,Kepler-32,8.75210645,2.2,,0.0,449.0,3727.0,0.5,0.52,Transit,2011,0.0669,2014-11-18,11533987250573.586,,,9.71001843556694
Kepler-32 c,Kepler-32,8.7522,2.0,158.9,,797.0,3900.0,0.53,0.58,Transit,2011,0.09,2016-03-23,8665655334766.028,9.48633e+26,109470428184946.16,7.228028540520727
Kepler-32 c,Kepler-32,8.7522,2.0,,,470.0,3793.0,0.53,0.54,Transit,2011,0.067,2016-03-23,8665655334766.028,,,11.66885423954539
